"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.721235807E1,1.931176867E1,-9.918311383E1,2.314178314E3,2.306289307E3,3.900000095E0,1.758000031E2,2.070282151E-1,3.790092468E0,3.997711897E0,1.300000000E1
5.821235807E1,1.931173292E1,-9.918310666E1,2.313986975E3,2.306097900E3,4.250000000E0,1.698000031E2,2.115232561E-1,3.790092468E0,3.753729343E0,1.500000000E1
5.921235807E1,1.931169267E1,-9.918310268E1,2.315322019E3,2.307432861E3,3.839999914E0,1.836000061E2,2.157599834E-1,3.790092468E0,3.529054165E0,1.500000000E1
6.021235807E1,1.931165471E1,-9.918310616E1,2.316068205E3,2.308178955E3,4.230000019E0,1.873999939E2,2.200030363E-1,3.790092468E0,3.312409163E0,1.300000000E1
6.121235807E1,1.931161830E1,-9.918311826E1,2.314778029E3,2.306888672E3,3.299999952E0,2.001000061E2,2.232999598E-1,3.790092468E0,3.295214653E0,1.400000000E1
6.221235807E1,1.931158913E1,-9.918312389E1,2.316028106E3,2.308138672E3,2.619999886E0,2.068000031E2,2.255887574E-1,3.790092468E0,3.148382425E0,1.700000000E1
6.321235807E1,1.931157219E1,-9.918313628E1,2.316282563E3,2.308393066E3,2.089999914E0,2.171999969E2,2.283651484E-1,3.790092468E0,3.055694818E0,1.700000000E1
6.421235807E1,1.931154988E1,-9.918314816E1,2.314778975E3,2.306889404E3,2.480000019E0,2.226000061E2,2.312438930E-1,3.790092468E0,3.058703184E0,1.800000000E1
6.521235807E1,1.931153214E1,-9.918316814E1,2.314872073E3,2.306982422E3,2.750000000E0,2.220000000E2,2.345878867E-1,3.790092468E0,2.860559702E0,1.900000000E1
6.621235807E1,1.931152129E1,-9.918319786E1,2.315469324E3,2.307579590E3,3.650000095E0,2.466999969E2,2.384950526E-1,3.790092468E0,2.837224483E0,1.800000000E1
6.721235807E1,1.931151043E1,-9.918323327E1,2.316023618E3,2.308133789E3,4.369999886E0,2.641000061E2,2.435592545E-1,3.790092468E0,2.585558891E0,1.700000000E1
6.821235807E1,1.931149966E1,-9.918328016E1,2.317124077E3,2.309234131E3,5.269999981E0,2.666000061E2,2.494459115E-1,3.790092468E0,2.611031055E0,1.600000000E1
6.921235807E1,1.931150276E1,-9.918333616E1,2.319165197E3,2.311275146E3,6.429999828E0,2.801000061E2,2.556326020E-1,3.790092468E0,2.518055201E0,1.900000000E1
7.021235807E1,1.931151289E1,-9.918339413E1,2.319756597E3,2.311866455E3,6.900000095E0,2.827999878E2,2.626341882E-1,3.790092468E0,2.500000000E0,1.600000000E1
7.121235807E1,1.931152750E1,-9.918345903E1,2.320604837E3,2.312714600E3,7.650000095E0,2.852999878E2,2.698432459E-1,3.790092468E0,2.578142881E0,1.800000000E1
7.221235807E1,1.931154575E1,-9.918352495E1,2.321534614E3,2.313644287E3,7.969999790E0,2.876000061E2,2.786714082E-1,3.790092468E0,2.544665575E0,1.700000000E1
7.321235807E1,1.931157614E1,-9.918360267E1,2.320742952E3,2.312852539E3,8.460000038E0,2.888999939E2,2.878039236E-1,3.790092468E0,2.500000000E0,1.800000000E1
7.421235807E1,1.931160672E1,-9.918368344E1,2.319892701E3,2.312002197E3,8.710000038E0,2.912999878E2,2.968773151E-1,3.790092468E0,2.500000000E0,1.900000000E1
7.521235807E1,1.931163770E1,-9.918376343E1,2.320580289E3,2.312689697E3,9.199999809E0,2.890000000E2,3.057242204E-1,3.790092468E0,2.500000000E0,1.800000000E1
7.621235807E1,1.931167156E1,-9.918383972E1,2.320633831E3,2.312743164E3,9.109999657E0,2.922999878E2,3.156413496E-1,3.790092468E0,2.500000000E0,1.600000000E1
7.721235807E1,1.931170761E1,-9.918392616E1,2.320609262E3,2.312718506E3,9.649999619E0,2.940000000E2,3.246036990E-1,3.790092468E0,2.508715391E0,1.500000000E1
7.821235807E1,1.931173682E1,-9.918400576E1,2.321119608E3,2.313228760E3,9.340000153E0,2.921000061E2,3.333541290E-1,3.790092468E0,2.500000000E0,1.700000000E1
7.921235807E1,1.931177458E1,-9.918407892E1,2.320318886E3,2.312427979E3,9.229999542E0,2.955000000E2,3.424891326E-1,3.790092468E0,2.500000000E0,1.500000000E1
8.021235807E1,1.931180397E1,-9.918416021E1,2.320191295E3,2.312300293E3,9.439999580E0,2.897999878E2,3.518977396E-1,3.790092468E0,2.500000000E0,1.200000000E1
8.121235807E1,1.931182947E1,-9.918424570E1,2.320818360E3,2.312927246E3,9.260000229E0,2.868999939E2,3.607918344E-1,3.790092468E0,2.500000000E0,1.600000000E1
8.221235807E1,1.931185198E1,-9.918432703E1,2.321099964E3,2.313208740E3,8.630000114E0,2.868999939E2,3.693814288E-1,3.790092468E0,2.500000000E0,1.700000000E1
8.321235807E1,1.931187206E1,-9.918440607E1,2.320888650E3,2.312997314E3,7.880000114E0,2.858999939E2,3.773909133E-1,3.790092468E0,2.575967312E0,1.300000000E1
8.421235807E1,1.931189214E1,-9.918447937E1,2.320601884E3,2.312710449E3,7.610000134E0,2.855000000E2,3.845076647E-1,3.790092468E0,3.111400366E0,1.200000000E1
8.521235807E1,1.931190706E1,-9.918454532E1,2.320558768E3,2.312667236E3,6.809999943E0,2.845000000E2,3.903778478E-1,3.790092468E0,3.008844614E0,1.600000000E1
8.621235807E1,1.931192589E1,-9.918459758E1,2.320166495E3,2.312274902E3,6.300000191E0,2.838999939E2,3.958537677E-1,3.790092468E0,3.162084103E0,1.500000000E1
8.721235807E1,1.931192696E1,-9.918464975E1,2.320619966E3,2.312728271E3,5.250000000E0,2.755000000E2,3.996978599E-1,3.790092468E0,3.315210342E0,1.500000000E1
8.821235807E1,1.931193479E1,-9.918468543E1,2.320721093E3,2.312829346E3,3.480000019E0,2.750000000E2,4.016509397E-1,3.790092468E0,3.171662331E0,1.700000000E1
8.921235807E1,1.931193911E1,-9.918470347E1,2.320522877E3,2.312631104E3,1.360000014E0,2.780000000E2,4.040714894E-1,3.790092468E0,3.178876877E0,1.500000000E1
9.021235807E1,1.931194247E1,-9.918472626E1,2.320634731E3,2.312742920E3,1.700000048E0,2.817000122E2,4.065720274E-1,3.790092468E0,2.899080992E0,1.700000000E1
9.121235807E1,1.931194158E1,-9.918475007E1,2.320769301E3,2.312877441E3,2.200000048E0,2.760000000E2,4.091567095E-1,3.790092468E0,2.914265156E0,1.800000000E1
9.221235807E1,1.931194173E1,-9.918477470E1,2.320901674E3,2.313009766E3,2.619999886E0,2.775000000E2,4.118234106E-1,3.790092468E0,3.006257296E0,1.500000000E1
9.321235807E1,1.931194311E1,-9.918480007E1,2.320942737E3,2.313050781E3,2.920000076E0,2.750000000E2,4.150610663E-1,3.790092468E0,3.044894934E0,1.600000000E1
9.421235807E1,1.931195086E1,-9.918482981E1,2.322308257E3,2.314416260E3,2.579999924E0,2.707000122E2,4.182241201E-1,3.790092468E0,3.006043196E0,1.800000000E1
9.521235807E1,1.931195670E1,-9.918485931E1,2.322421339E3,2.314529297E3,3.119999886E0,2.805000000E2,4.228599587E-1,3.790092468E0,2.959613562E0,1.800000000E1
9.621235807E1,1.931196021E1,-9.918490333E1,2.322613069E3,2.314720947E3,3.869999886E0,2.761000061E2,4.271000542E-1,3.790092468E0,3.379405499E0,1.800000000E1
9.721235807E1,1.931196774E1,-9.918494294E1,2.323060640E3,2.315168457E3,5.190000057E0,2.742000122E2,4.328381890E-1,3.790092468E0,3.760961533E0,1.500000000E1
