"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.788233754E1,1.932378490E1,-9.917957203E1,2.290365296E3,2.282510498E3,9.399999976E-1,3.327999878E2,1.021760284E-1,8.036723137E0,6.630951881E0,1.700000000E1
7.888233754E1,1.932379774E1,-9.917957254E1,2.290934604E3,2.283079834E3,6.700000167E-1,3.457000122E2,1.029640346E-1,8.928557396E0,6.634293556E0,1.400000000E1
7.988233754E1,1.932380355E1,-9.917956824E1,2.291202405E3,2.283347656E3,4.900000095E-1,4.199999809E0,1.037378757E-1,8.759905815E0,6.642218590E0,1.300000000E1
8.088233754E1,1.932380833E1,-9.917956288E1,2.291564200E3,2.283709473E3,2.700000107E-1,4.700000000E1,1.044026510E-1,9.605779648E0,6.962570667E0,1.200000000E1
8.188233754E1,1.932381092E1,-9.917955717E1,2.292186009E3,2.284331299E3,2.899999917E-1,7.309999847E1,1.050875616E-1,9.582859993E0,7.124633312E0,1.000000000E1
8.288233754E1,1.932381369E1,-9.917955134E1,2.292694780E3,2.284840088E3,2.300000042E-1,2.939999962E1,1.058015485E-1,1.060255051E1,7.235029697E0,1.100000000E1
8.388233754E1,1.932381836E1,-9.917954667E1,2.292070004E3,2.284215332E3,3.700000048E-1,1.480000019E1,1.066031674E-1,1.223882294E1,7.472197533E0,1.200000000E1
8.488233754E1,1.932382424E1,-9.917954225E1,2.292079748E3,2.284225098E3,4.300000072E-1,2.050000000E1,1.071953775E-1,1.393419170E1,7.479678631E0,1.300000000E1
8.588233754E1,1.932382789E1,-9.917953814E1,2.292033345E3,2.284178711E3,2.300000042E-1,2.889999962E1,1.083278061E-1,1.561920166E1,7.312932014E0,1.400000000E1
8.688233754E1,1.932383791E1,-9.917953621E1,2.291447869E3,2.283593262E3,4.099999964E-1,2.210000038E1,1.111863737E-1,1.490375614E1,6.921212196E0,1.200000000E1
8.788233754E1,1.932386044E1,-9.917952309E1,2.292101845E3,2.284247314E3,1.720000029E0,3.759999847E1,1.134419040E-1,1.206929779E1,6.504990578E0,1.400000000E1
8.888233754E1,1.932387940E1,-9.917951545E1,2.289709697E3,2.281855225E3,8.799999952E-1,3.359999847E1,1.155809800E-1,1.225161457E1,6.612476349E0,1.300000000E1
8.988233754E1,1.932389830E1,-9.917951165E1,2.290245535E3,2.282391113E3,5.199999809E-1,3.770000076E1,1.172553838E-1,1.064095783E1,6.802405834E0,1.400000000E1
9.088233754E1,1.932391248E1,-9.917950628E1,2.290040659E3,2.282186279E3,7.599999905E-1,4.720000076E1,1.190579016E-1,1.164646053E1,7.202124119E0,1.400000000E1
9.188233754E1,1.932392800E1,-9.917950132E1,2.290127528E3,2.282273193E3,7.599999905E-1,4.179999924E1,1.209554960E-1,1.278822899E1,7.596893787E0,1.400000000E1
9.288233754E1,1.932394505E1,-9.917950055E1,2.290011032E3,2.282156738E3,1.240000010E0,1.139999962E1,1.227967244E-1,1.454262352E1,7.942872047E0,1.600000000E1
9.388233754E1,1.932396143E1,-9.917950312E1,2.289689223E3,2.281834961E3,7.900000215E-1,3.522000122E2,1.242149297E-1,1.602872467E1,8.175111771E0,1.500000000E1
9.488233754E1,1.932397381E1,-9.917950637E1,2.289670647E3,2.281816406E3,6.899999976E-1,3.493999939E2,1.253178477E-1,1.865475273E1,8.498763084E0,1.400000000E1
9.588233754E1,1.932398237E1,-9.917951168E1,2.289652327E3,2.281798096E3,3.799999952E-1,8.000000000E0,1.259838076E-1,2.221525574E1,8.998445511E0,1.200000000E1
9.688233754E1,1.932398822E1,-9.917951304E1,2.289796360E3,2.281942139E3,3.899999857E-1,2.220000076E1,1.265826794E-1,2.660533142E1,9.464936256E0,6.000000000E0
9.788233754E1,1.932399223E1,-9.917951685E1,2.289920138E3,2.282065918E3,2.300000042E-1,2.129999924E1,1.270736943E-1,2.983234978E1,9.712006569E0,6.000000000E0
9.888233754E1,1.932399482E1,-9.917952064E1,2.289892796E3,2.282038574E3,0.000000000E0,NaN,1.275812193E-1,3.602901840E1,1.037961292E1,4.000000000E0
9.988233754E1,1.932399401E1,-9.917951588E1,2.289836391E3,2.281982178E3,5.600000024E-1,6.469999695E1,1.279737969E-1,3.762552261E1,1.025306606E1,4.000000000E0
1.008823375E2,1.932399587E1,-9.917951906E1,2.289053679E3,2.281199463E3,4.199999869E-1,4.409999847E1,1.290408251E-1,4.019697571E1,1.021244049E1,5.000000000E0
1.018823375E2,1.932398628E1,-9.917951870E1,2.290280262E3,2.282426025E3,3.300000131E-1,1.423999939E2,1.305063983E-1,2.744936752E1,9.294657707E0,6.000000000E0
1.028823375E2,1.932397310E1,-9.917951862E1,2.289622577E3,2.281768311E3,6.499999762E-1,2.125000000E2,1.315194759E-1,2.308403397E1,8.593320847E0,1.300000000E1
1.038823375E2,1.932396500E1,-9.917951420E1,2.289868436E3,2.282014160E3,6.499999762E-1,1.596999969E2,1.330184509E-1,2.313914680E1,8.120197296E0,1.300000000E1
1.048823375E2,1.932395773E1,-9.917950217E1,2.289560568E3,2.281706299E3,9.200000167E-1,1.326000061E2,1.340123640E-1,2.204880524E1,7.480052948E0,1.300000000E1
