"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.129498432E1,1.932272413E1,-9.917895670E1,2.292307640E3,2.284451660E3,3.299999952E0,1.643000031E2,2.824081814E-1,3.790092468E0,2.500000000E0,2.000000000E1
7.229498432E1,1.932269718E1,-9.917895202E1,2.293399733E3,2.285543701E3,2.930000067E0,1.788000031E2,2.845168742E-1,3.790092468E0,2.500000000E0,2.000000000E1
7.329498432E1,1.932267843E1,-9.917895503E1,2.294494508E3,2.286638428E3,2.150000095E0,2.033000031E2,2.859795605E-1,3.790092468E0,2.500000000E0,1.900000000E1
7.429498432E1,1.932266643E1,-9.917896074E1,2.294024819E3,2.286168701E3,1.269999981E0,2.110000000E2,2.869671325E-1,3.790092468E0,2.500000000E0,1.800000000E1
7.529498432E1,1.932265755E1,-9.917896091E1,2.294526793E3,2.286670654E3,7.300000191E-1,2.108999939E2,2.877249812E-1,3.790092468E0,2.500000000E0,1.600000000E1
7.629498432E1,1.932265074E1,-9.917896062E1,2.294633986E3,2.286777832E3,7.799999714E-1,2.106999969E2,2.882119034E-1,3.790092468E0,2.500000000E0,2.100000000E1
7.729498432E1,1.932264820E1,-9.917896440E1,2.294394741E3,2.286538574E3,7.699999809E-1,2.080000000E2,2.885935841E-1,3.790092468E0,2.500000000E0,1.800000000E1
7.829498432E1,1.932264650E1,-9.917896756E1,2.295062232E3,2.287206055E3,6.100000143E-1,2.083000031E2,2.892676251E-1,3.790092468E0,2.500000000E0,2.100000000E1
7.929498432E1,1.932264116E1,-9.917897060E1,2.295225336E3,2.287369141E3,8.899999857E-1,2.083999939E2,2.901152008E-1,3.790092468E0,2.500000000E0,1.900000000E1
8.029498432E1,1.932263826E1,-9.917897807E1,2.295661880E3,2.287805664E3,7.599999905E-1,2.081999969E2,2.916226003E-1,3.790092468E0,2.500000000E0,2.000000000E1
8.129498432E1,1.932263473E1,-9.917899194E1,2.295742238E3,2.287885986E3,2.069999933E0,2.483000031E2,2.945246927E-1,3.790092468E0,2.500000000E0,2.000000000E1
8.229498432E1,1.932263162E1,-9.917901940E1,2.296204946E3,2.288348633E3,3.039999962E0,2.736000061E2,2.984882423E-1,3.790092468E0,2.500000000E0,2.100000000E1
8.329498432E1,1.932263627E1,-9.917905685E1,2.295444756E3,2.287588379E3,3.960000038E0,2.841000061E2,3.035389328E-1,3.790092468E0,2.500000000E0,2.100000000E1
8.429498432E1,1.932264545E1,-9.917910399E1,2.295301518E3,2.287445068E3,5.309999943E0,2.822000122E2,3.087163237E-1,3.790092468E0,2.500000000E0,2.000000000E1
8.529498432E1,1.932265968E1,-9.917915097E1,2.295746891E3,2.287890381E3,5.550000191E0,2.877000122E2,3.153341149E-1,3.790092468E0,2.500000000E0,2.000000000E1
8.629498432E1,1.932267936E1,-9.917921049E1,2.295559464E3,2.287702881E3,6.329999924E0,2.885000000E2,3.218398718E-1,3.790092468E0,2.500000000E0,2.200000000E1
8.729498432E1,1.932269650E1,-9.917926977E1,2.295842990E3,2.287986328E3,6.659999847E0,2.895000000E2,3.285453955E-1,3.790092468E0,2.561562300E0,2.100000000E1
8.829498432E1,1.932272157E1,-9.917932789E1,2.296000519E3,2.288143799E3,6.699999809E0,2.906000061E2,3.356658123E-1,3.790092468E0,2.825795650E0,2.100000000E1
8.929498432E1,1.932274027E1,-9.917939279E1,2.296210811E3,2.288354004E3,7.300000191E0,2.883999939E2,3.423444282E-1,3.790092468E0,2.983090401E0,2.000000000E1
9.029498432E1,1.932275952E1,-9.917945308E1,2.295972361E3,2.288115479E3,7.539999962E0,2.890000000E2,3.503117382E-1,3.790092468E0,2.899564505E0,1.900000000E1
9.129498432E1,1.932278099E1,-9.917952552E1,2.296408491E3,2.288551514E3,8.090000153E0,2.895000000E2,3.585916797E-1,3.790092468E0,2.908403397E0,1.900000000E1
9.229498432E1,1.932280334E1,-9.917960079E1,2.296975484E3,2.289118408E3,8.020000458E0,2.896000061E2,3.670825191E-1,3.790092468E0,2.919148445E0,2.000000000E1
9.329498432E1,1.932281961E1,-9.917967985E1,2.296740741E3,2.288883545E3,8.050000191E0,2.882999878E2,3.764436461E-1,3.790092468E0,2.978368759E0,2.100000000E1
9.429498432E1,1.932285485E1,-9.917976087E1,2.295682716E3,2.287825439E3,7.809999943E0,2.896000061E2,3.843637485E-1,3.790092468E0,2.982380629E0,2.000000000E1
9.529498432E1,1.932287781E1,-9.917983232E1,2.295294133E3,2.287436768E3,8.050000191E0,2.883999939E2,3.923306230E-1,3.790092468E0,2.732960224E0,1.900000000E1
9.629498432E1,1.932289878E1,-9.917990492E1,2.295776896E3,2.287919434E3,8.029999733E0,2.887999878E2,4.002242819E-1,3.790092468E0,3.124063492E0,1.900000000E1
9.729498432E1,1.932292041E1,-9.917997657E1,2.296314586E3,2.288457031E3,7.860000134E0,2.891000061E2,4.074764033E-1,3.790092468E0,3.395666122E0,2.000000000E1
9.829498432E1,1.932294644E1,-9.918003994E1,2.297190630E3,2.289333008E3,7.210000038E0,2.890000000E2,4.155336416E-1,3.790092468E0,3.194134235E0,2.000000000E1
9.929498432E1,1.932296865E1,-9.918011303E1,2.297353078E3,2.289495361E3,7.920000076E0,2.895000000E2,4.216199267E-1,3.790092468E0,3.220928669E0,2.100000000E1
1.002949843E2,1.932299505E1,-9.918016384E1,2.297439544E3,2.289581787E3,5.659999847E0,2.950000000E2,4.276046976E-1,3.790092468E0,3.054855585E0,2.100000000E1
1.012949843E2,1.932300491E1,-9.918021991E1,2.296555356E3,2.288697510E3,4.820000172E0,2.823999939E2,4.336097712E-1,3.790092468E0,3.205815077E0,1.500000000E1
1.022949843E2,1.932302003E1,-9.918027485E1,2.296301768E3,2.288443848E3,6.030000210E0,2.905000000E2,4.376681463E-1,3.790092468E0,3.290754080E0,1.800000000E1
1.032949843E2,1.932303398E1,-9.918031059E1,2.295727588E3,2.287869629E3,4.119999886E0,2.847000122E2,4.407795725E-1,3.790092468E0,3.398915529E0,1.900000000E1
1.042949843E2,1.932304479E1,-9.918033794E1,2.295499591E3,2.287641602E3,3.460000038E0,2.792000122E2,4.453773835E-1,3.790092468E0,3.283062458E0,1.800000000E1
1.052949843E2,1.932303425E1,-9.918038031E1,2.293987980E3,2.286129883E3,3.549999952E0,2.453000031E2,4.496954512E-1,3.790092468E0,3.375400305E0,1.900000000E1
1.062949843E2,1.932301637E1,-9.918041684E1,2.295573054E3,2.287714844E3,3.920000076E0,2.408000031E2,4.530422997E-1,3.836243868E0,3.760821104E0,1.700000000E1
1.072949843E2,1.932299064E1,-9.918043339E1,2.296523340E3,2.288665039E3,3.440000057E0,2.076999969E2,4.567475669E-1,3.790092468E0,3.531968117E0,2.000000000E1
1.082949843E2,1.932296625E1,-9.918045745E1,2.297164556E3,2.289306152E3,3.349999905E0,2.168999939E2,4.597976240E-1,3.945127249E0,3.777829409E0,1.800000000E1
1.092949843E2,1.932294075E1,-9.918046816E1,2.297288658E3,2.289430176E3,2.730000019E0,1.833000031E2,4.622667671E-1,3.959516764E0,3.750082493E0,2.000000000E1
1.102949843E2,1.932291922E1,-9.918047392E1,2.297844871E3,2.289986328E3,1.909999967E0,1.736999969E2,4.648666365E-1,3.790092468E0,3.446228027E0,2.000000000E1
1.112949843E2,1.932289588E1,-9.918047539E1,2.297824663E3,2.289966064E3,2.289999962E0,1.866999969E2,4.671294937E-1,3.790092468E0,3.337536335E0,1.900000000E1
1.122949843E2,1.932287562E1,-9.918047742E1,2.298807135E3,2.290948486E3,2.099999905E0,1.821000061E2,4.697471565E-1,3.790092468E0,3.324572563E0,1.900000000E1
1.132949843E2,1.932285427E1,-9.918046691E1,2.299092318E3,2.291233643E3,2.740000010E0,1.588000031E2,4.738146966E-1,3.790092468E0,3.377635717E0,2.000000000E1
1.142949843E2,1.932282455E1,-9.918044431E1,2.298071589E3,2.290212891E3,3.799999952E0,1.403000031E2,4.776365075E-1,3.790092468E0,3.176881075E0,2.000000000E1
1.152949843E2,1.932279689E1,-9.918042269E1,2.297217849E3,2.289359131E3,4.250000000E0,1.235000000E2,4.827179922E-1,3.790092468E0,3.309923649E0,2.100000000E1
1.162949843E2,1.932277622E1,-9.918037950E1,2.297378455E3,2.289519775E3,5.400000095E0,1.145000000E2,4.883349519E-1,3.790092468E0,3.050913572E0,1.800000000E1
1.172949843E2,1.932275548E1,-9.918033069E1,2.297778796E3,2.289920166E3,6.170000076E0,1.144000015E2,4.948370031E-1,3.790092468E0,2.675919056E0,1.900000000E1
1.182949843E2,1.932273580E1,-9.918027234E1,2.298045570E3,2.290187012E3,7.510000229E0,1.130000000E2,5.021221344E-1,3.790092468E0,2.512121439E0,2.000000000E1
1.192949843E2,1.932270733E1,-9.918020981E1,2.298478616E3,2.290620117E3,7.579999924E0,1.134000015E2,5.100326208E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.202949843E2,1.932268092E1,-9.918013981E1,2.299087668E3,2.291229248E3,7.610000134E0,1.105999985E2,5.173094302E-1,3.790092468E0,2.500000000E0,2.100000000E1
1.212949843E2,1.932265312E1,-9.918007703E1,2.299580283E3,2.291721924E3,7.559999943E0,1.114000015E2,5.258376079E-1,3.790092468E0,2.592083693E0,2.000000000E1
1.222949843E2,1.932262770E1,-9.918000035E1,2.299945911E3,2.292087646E3,7.659999847E0,1.129000015E2,5.323181558E-1,3.790092468E0,2.566770554E0,2.000000000E1
1.232949843E2,1.932260556E1,-9.917994322E1,2.299539110E3,2.291680908E3,7.239999771E0,1.111999969E2,5.407707107E-1,3.790092468E0,2.560448885E0,2.200000000E1
1.242949843E2,1.932257475E1,-9.917986958E1,2.298681123E3,2.290822998E3,8.189999580E0,1.135999985E2,5.489537177E-1,3.790092468E0,2.500000000E0,2.300000000E1
1.252949843E2,1.932254537E1,-9.917979808E1,2.298582660E3,2.290724609E3,8.710000038E0,1.130000000E2,5.582267786E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.262949843E2,1.932251211E1,-9.917971704E1,2.298464166E3,2.290606201E3,8.859999657E0,1.131999969E2,5.674986141E-1,3.790092468E0,2.500000000E0,2.300000000E1
1.272949843E2,1.932247985E1,-9.917963556E1,2.298236783E3,2.290378906E3,8.979999542E0,1.134000015E2,5.753193575E-1,3.790092468E0,2.500000000E0,2.200000000E1
1.282949843E2,1.932245066E1,-9.917956775E1,2.297172750E3,2.289314941E3,8.460000038E0,1.100999985E2,5.839114994E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.292949843E2,1.932242281E1,-9.917949137E1,2.296184136E3,2.288326416E3,8.319999695E0,1.114000015E2,5.930130325E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.302949843E2,1.932239152E1,-9.917941122E1,2.295801724E3,2.287944092E3,9.369999886E0,1.123000031E2,6.024677262E-1,3.790092468E0,2.500000000E0,1.900000000E1
1.312949843E2,1.932236030E1,-9.917932741E1,2.295385369E3,2.287527832E3,9.319999695E0,1.131999969E2,6.114806681E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.322949843E2,1.932232893E1,-9.917924821E1,2.294863311E3,2.287005859E3,9.119999886E0,1.111999969E2,6.214849950E-1,3.790092468E0,2.500000000E0,2.000000000E1
1.332949843E2,1.932229589E1,-9.917915953E1,2.294611257E3,2.286753906E3,9.319999695E0,1.125999985E2,6.305215955E-1,3.790092468E0,2.500000000E0,1.800000000E1
